OntologyAnnotation.subject.symbol,OntologyAnnotation.subject.background.name,Zygosity,ContainsHoloprosencephaly,CombinedPhenotypes,CombinedPubmed,HPE_strains
Nosip<Gt(OST138992)Lex>/Nosip<Gt(OST138992)Lex>,B6.129S5-Nosip<Gt(OST138992)Lex>,hm,TRUE,"abnormal craniofacial morphology, abnormal craniofacial morphology, abnormal craniofacial morphology, abnormal craniofacial morphology, abnormal lateral ganglionic eminence morphology, abnormal lens morphology, abnormal medial ganglionic eminence morphology, abnormal midface morphology, abnormal palate morphology, abnormal telencephalon development, absent basisphenoid bone, absent nasopharynx, absent olfactory bulb, absent telencephalon, agnathia, anophthalmia, cleft secondary palate, coloboma, cyanosis, cyclopia, decreased embryo weight, decreased fetal weight, dilated lateral ventricle, enlarged third ventricle, exencephaly, holoprosencephaly, microphthalmia, midline facial cleft, narrow snout, ocular hypotelorism, olfactory bulb hypoplasia, perinatal lethality, complete penetrance, perinatal lethality, complete penetrance, proboscis, respiratory distress",25546391,B6|129S5
Pgap1<m1Nisw>/Pgap1<m1Nisw>,involves: 129S1/SvImJ * C57BL/6J,hm,TRUE,"abnormal eye morphology, holoprosencephaly",23213481,129S1/SvImJ|C57BL/6J
Pgap1<m1Nisw>/Pgap1<m1Nisw>,involves: C57BL/6J,hm,TRUE,"abnormal cranial cartilage morphology, abnormal cranium morphology, abnormal forebrain development, abnormal forebrain development, abnormal interparietal bone morphology, abnormal occipital bone morphology, absent basioccipital bone, decreased fetal size, decreased fetal size, forebrain hypoplasia, holoprosencephaly, holoprosencephaly","23213481, NA",C57BL/6J
Pign<m1Nisw>/Pign<m1Nisw>,involves: 129S1/SvImJ * C3H/HeJ * C57BL/6J,hm,TRUE,"abnormal cranial cartilage morphology, abnormal cranial cartilage morphology, abnormal cranium morphology, abnormal forebrain development, abnormal forebrain development, abnormal gastrulation, abnormal interparietal bone morphology, abnormal occipital bone morphology, abnormal occipital bone morphology, abnormal occipital bone morphology, abnormal supraoccipital bone morphology, coloboma, decreased fetal size, forebrain hypoplasia, forebrain hypoplasia, holoprosencephaly, microphthalmia, midbrain hypoplasia, proboscis, short femur, small interparietal bone","23213481, NA",129S1/SvImJ|C3H/HeJ|C57BL/6J
Pign<m1Nisw>/Pign<m1Nisw>,involves: C3H/HeJ * C57BL/6J,hm,TRUE,"abnormal eye morphology, abnormal gastrulation, forebrain hypoplasia, holoprosencephaly, proboscis",23213481,C3H/HeJ|C57BL/6J
Ppcd1/+,(D2.129-Ppcd1 x C57BL/6)F1,ht,FALSE,"enlarged eye anterior chamber, macrophthalmia",20808945,D2|129
Ppcd1/+,(D2.129-Ppcd1 x FVB/N)F1,ht,FALSE,"enlarged eye anterior chamber, macrophthalmia",20808945,D2|129
Ppcd1/+,D2.129-Ppcd1,ht,FALSE,"abnormal cornea morphology, abnormal eye size, abnormal iridocorneal angle, abnormal iridocorneal angle, abnormal iridocorneal angle, abnormal lens morphology, abnormal trabecular meshwork morphology, anterior iris synechia, corneal opacity, corneal scarring, corneal vascularization, decreased cornea thickness, enlarged eye anterior chamber, phthisis bulbi",20808945,D2|129
Ppcd1/+,involves: 129S1/Sv * 129X1/SvJ * C57BL/6,ht,FALSE,"abnormal cornea morphology, abnormal lens morphology, anterior iris synechia, cornea ulcer, corneal opacity, corneal scarring, corneal vascularization, enlarged eye anterior chamber, phthisis bulbi, posterior iris synechia, vision/eye phenotype",20808945,129S1/Sv|129X1/SvJ|C57BL/6
Prdm15<tm1a(EUCOMM)Wtsi>/Prdm15<+>,involves: C57BL/6N,ht,FALSE,no abnormal phenotype detected,31950080,C57BL/6N
Prdm15<tm1a(EUCOMM)Wtsi>/Prdm15<tm1a(EUCOMM)Wtsi>,involves: C57BL/6N,hm,TRUE,"abnormal anterior head development, abnormal brain morphology, abnormal embryonic neuroepithelium morphology, abnormal embryonic neuroepithelium morphology, abnormal eye morphology, abnormal forebrain development, abnormal forebrain development, abnormal lateral ganglionic eminence morphology, abnormal medial ganglionic eminence morphology, abnormal rostral-caudal axis patterning, abnormal rostral-caudal axis patterning, abnormal rostral-caudal axis patterning, abnormal visceral yolk sac endoderm morphology, decreased embryo size, embryonic growth retardation, embryonic growth retardation, excessive folding of visceral yolk sac, holoprosencephaly, prenatal lethality, complete penetrance, rostral body truncation",31950080,C57BL/6N
Psph<tm1a(EUCOMM)Hmgu>/Psph<tm1a(EUCOMM)Hmgu>,C57BL/6N-Psph<tm1a(EUCOMM)Hmgu>/Wtsi,hm,TRUE,"abnormal Wolffian duct morphology, abnormal adenohypophysis morphology, abnormal bile duct morphology, abnormal brain commissure morphology, abnormal brain internal capsule morphology, abnormal choroid plexus morphology, abnormal dorsal root ganglion topology, abnormal ductus venosus valve topology, abnormal duodenum topology, abnormal external auditory canal morphology, abnormal eye muscle morphology, abnormal facial nerve topology, abnormal femur morphology, abnormal forebrain morphology, abnormal hindbrain morphology, abnormal hypoglossal nerve topology, abnormal inferior vena cava morphology, abnormal infrahyoid muscle connection, abnormal interatrial septum morphology, abnormal larynx morphology, abnormal lens morphology, abnormal midbrain morphology, abnormal middle ear ossicle morphology, abnormal nasal cavity morphology, abnormal nasal septum morphology, abnormal neurohypophysis morphology, abnormal olfactory bulb morphology, abnormal olfactory nerve morphology, abnormal optic cup morphology, abnormal optic stalk morphology, abnormal oral cavity morphology, abnormal outer ear morphology, abnormal parasellar internal carotid artery branch morphology, abnormal pelvic girdle bone morphology, abnormal pineal gland morphology, abnormal placenta morphology, abnormal placenta morphology, abnormal placental labyrinth vasculature morphology, abnormal posterior semicircular canal morphology, abnormal pulmonary artery origin, abnormal salivary gland morphology, abnormal semicircular canal morphology, abnormal sphenoid bone morphology, abnormal spinal cord central canal morphology, abnormal thymus morphology, abnormal thymus topology, abnormal thyroid gland morphology, abnormal trophoblast layer morphology, abnormal trophoblast layer morphology, abnormal vertebral artery origin, abnormal vertebral body morphology, abnormal vitelline vein connection, abnormal vomeronasal organ morphology, absent abducens nerve, absent brain internal capsule, absent celiac artery, absent connection between subcutaneous lymph vessels and lymph sac, absent external auditory canal, absent eye muscles, absent hypoglossal nerve, absent maxilla, absent neurohypophysis, absent olfactory bulb, absent olfactory nerve, absent optic chiasm, absent pineal gland, absent portal vein segment, absent posterior commissure, absent salivary gland, absent segment of posterior cerebral artery, absent stapedial artery, absent tongue, absent trochlear nerve, absent vomeronasal organ, anastomosis between middle cerebral arteries, aorta coarctation, aphakia, athymia, basal brain tissue herniation, blood in lymph vessels, double outlet right ventricle, embryo cyst, embryonic growth retardation, epithelioid cyst, fetal growth retardation, fragmented Meckel's cartilage, fusion of vertebral arches, fusion of vertebral bodies, herniated liver, heterochrony, holoprosencephaly, increased rib number, increased trigeminal neuroma incidence, intestinal/bowel diverticulum, intraembryonal intestine elongation, muscular ventricular septal defect, oligodactyly, perimembraneous ventricular septal defect, persistent trigeminal artery, persistent truncus arteriosis, placenta hemorrhage, placenta necrosis, preweaning lethality, complete penetrance, preweaning lethality, complete penetrance, rib fusion, short Meckel's cartilage, small kidney, small placenta, small salivary gland, small superior cervical ganglion, spleen hypoplasia, subcutaneous edema, subcutaneous edema, thin cerebral cortex, thoracoschisis, tongue hypoplasia, umbilical vein stenosis","NA, 29539633",C57BL/6N
Ptch1<dl>/Ptch1<tm1Zim>,involves: 129S1/SvImJ * 129S2/SvPas * C57BL/6J,ht,FALSE,"abnormal head morphology, domed cranium, increased fetal size, kinked tail, omphalocele",23897749,129S1/SvImJ|129S2/SvPas|C57BL/6J
Ptch1<tm1Zim>/Ptch1<+>,either: (involves: 129 * C57BL/6) or (involves: 129 * CD-1),ht,FALSE,"abnormal rib morphology, decreased rib number, dermal cyst, exencephaly, incomplete rostral neuropore closure, increased body size, increased fetal size, increased incidence of tumors by ionizing radiation induction, increased medulloblastoma incidence, increased rhabdomyosarcoma incidence, increased rhabdomyosarcoma incidence, increased rhabdomyosarcoma incidence, increased rhabdomyosarcoma incidence, lethality throughout fetal growth and development, incomplete penetrance, mandibular cyst, polydactyly, preaxial polydactyly",9585239,129|C57BL/6
Ptch1<tm1Zim>/Ptch1<+>,involves: 129 * CD-1,ht,FALSE,"increased incidence of tumors by ionizing radiation induction, increased incidence of tumors by ionizing radiation induction, increased medulloblastoma incidence, increased medulloblastoma incidence, increased medulloblastoma incidence, increased medulloblastoma incidence, increased medulloblastoma incidence, increased mortality induced by ionizing radiation, increased mortality induced by ionizing radiation","12386820, 21351254",129|CD
Ptch1<tm1Zim>/Ptch1<tm1Zim>,involves: 129,hm,FALSE,"abnormal neural tube closure, embryonic lethality during organogenesis, incomplete penetrance",9585239,129
Rpgrip1l<tm1a(EUCOMM)Wtsi>/Rpgrip1l<tm1a(EUCOMM)Wtsi>,C57BL/6N-Rpgrip1l<tm1a(EUCOMM)Wtsi>/Wtsi,hm,TRUE,"abdominal situs ambiguus, abnormal Mullerian duct topology, abnormal accessory nerve morphology, abnormal atrioventricular cushion morphology, abnormal azygos vein topology, abnormal basilar artery morphology, abnormal basioccipital bone morphology, abnormal basisphenoid bone morphology, abnormal brain vasculature morphology, abnormal carotid artery morphology, abnormal coronary sinus connection, abnormal cranial blood vasculature morphology, abnormal ductus venosus valve topology, abnormal eye muscle morphology, abnormal forebrain morphology, abnormal heart position or orientation, abnormal hepatic portal vein formation, abnormal hindbrain morphology, abnormal hyoid bone morphology, abnormal hypoglossal nerve topology, abnormal incisor morphology, abnormal inferior vena cava topology, abnormal inferior vena cava valve morphology, abnormal inner ear morphology, abnormal internal carotid artery morphology, abnormal internal carotid artery topology, abnormal intestine placement, abnormal intrathoracic topology of vagus nerve, abnormal maxilla morphology, abnormal midbrain morphology, abnormal nasal cavity morphology, abnormal nasal septum morphology, abnormal olfactory bulb morphology, abnormal optic cup morphology, abnormal optic stalk morphology, abnormal palate morphology, abnormal pancreas topology, abnormal pineal gland morphology, abnormal placenta morphology, abnormal placental labyrinth vasculature morphology, abnormal rib morphology, abnormal right lung morphology, abnormal subclavian artery origin, abnormal testis morphology, abnormal umbilical vein topology, abnormal ventral pancreas morphology, abnormal vertebral arch morphology, abnormal vertebral artery origin, abnormal vertebral body morphology, abnormal vitelline vein connection, absent adenohypophysis, absent brain internal capsule, absent canalicular internal carotid artery segment, absent connection between subcutaneous lymph vessels and lymph sac, absent ductus venosus valve, absent hypoglossal nerve, absent intracranial segment of vertebral artery, absent intrahepatic inferior vena cava segment, absent oculomotor nerve, absent olfactory bulb, absent optic chiasm, absent parasellar internal carotid artery, absent segment of posterior cerebral artery, absent spleen, absent sublingual gland, absent superior cervical ganglion, absent vertebral body, anastomosis between internal carotid artery and basilar artery, anomalous pulmonary venous connection, anophthalmia, atrial septal defect, atrial situs inversus, bifid ureter, cleft palate, cleft upper lip, common atrium, decreased tongue size, dilated liver sinusoidal space, double outlet left ventricle, double outlet right ventricle, fusion of vertebral arches, heterochrony, heterotaxia, holoprosencephaly, inverse situs of great intrathoracic arteries, left atrial isomerism, left pulmonary isomerism, liver cyst, liver hemorrhage, muscular ventricular septal defect, perimembraneous ventricular septal defect, persistent right 6th pharyngeal arch artery, persistent right dorsal aorta, placenta hemorrhage, placenta necrosis, polydactyly, preweaning lethality, complete penetrance, preweaning lethality, complete penetrance, retro-esophageal left subclavian artery, right aortic arch, small dorsal root ganglion, small placenta, small superior cervical ganglion, spleen hypoplasia, subcutaneous edema, symmetric azygos veins, thin facial nerve, thin hypoglossal nerve, thin motoric part of trigeminal nerve, thoracoschisis, transposition of great arteries","NA, 29539633",C57BL/6N
Scs/+,(C3H/He-Scs/GrsrJ x C57BL/6J)F1,ht,FALSE,"abnormal axial skeleton morphology, abnormal intervertebral disk morphology, abnormal rib morphology, abnormal skeleton development, abnormal vertebrae morphology, abnormal vertebral column morphology, absent intervertebral disk, prolapsed intervertebral disk, rib bifurcation, rib fusion, short tail, short vertebral column, vertebral compression, vertebral fusion",NA,C3H/He
Scs/+,(C3H/He-Scs/GrsrJ x CAST/EiJ)F1,ht,FALSE,"abnormal axial skeleton morphology, abnormal skeleton development, short tail",NA,C3H/He
Scs/+,C3H/He-Scs/GrsrJ,ht,FALSE,"abnormal axial skeleton morphology, abnormal skeleton development, short tail",NA,C3H/He
Shh<Dsh>/Shh<+>,B10Rl.Cg-Shh<Dsh>,ht,FALSE,"abnormal cartilage development, abnormal cartilage morphology, abnormal chondrocyte differentiation, abnormal cranium morphology, abnormal frontal bone morphology, abnormal frontal bone morphology, abnormal hindlimb morphology, abnormal joint morphology, abnormal maxilla morphology, abnormal neurocranium morphology, abnormal neurocranium morphology, abnormal phalanx morphology, abnormal phalanx morphology, abnormal rib morphology, abnormal rib morphology, abnormal vertebrae morphology, brachydactyly, brachydactyly, brachydactyly, brachyphalangia, brachyphalangia, cervical vertebral fusion, decreased chondrocyte proliferation, fused joints, fusion of atlas and odontoid process, occipital bone foramen, short metacarpal bones, syndactyly, syndactyly, syndactyly, thin interparietal bone","15841179, 8270769, NA",B10Rl|Cg
Shh<Dsh>/Shh<+>,involves: 101 * C3H * C57BL * SEC,ht,FALSE,brachydactyly,NA,101|C3H|C57BL|SEC
Shh<Dsh>/Shh<tm1Chg>,involves: 101 * 129S1/Sv * 129X1/SvJ * C3H * C57BL/10Rl,ht,FALSE,"abnormal dorsal-ventral axis patterning, abnormal limb morphology",15841179,101|129S1/Sv|129X1/SvJ|C3H|C57BL/10Rl
Shh<tm1Amc>/Shh<tm1.1Rseg>,involves: 129S1/Sv * 129S4/SvJae * 129X1/SvJ * C57BL/6,ht,FALSE,"cerebellum hypoplasia, decreased body weight, decreased brain weight, embryo phenotype, microphthalmia, small olfactory bulb",19287388,129S1/Sv|129S4/SvJae|129X1/SvJ|C57BL/6
Shh<tm1Amc>/Shh<tm1Amc>,Not Specified,hm,FALSE,"abnormal branching involved in lung morphogenesis, abnormal bronchus morphology, abnormal pharynx morphology, absent tracheal cartilage rings, neonatal lethality, complete penetrance, pulmonary hypoplasia, pulmonary hypoplasia, small stomach, tracheoesophageal fistula, tracheoesophageal fistula","15305287, 15829524",NotSpecified
Shh<tm1Amc>/Shh<tm1Amc>,STOCK Shh<tm1Amc>/J,hm,FALSE,"abnormal submandibular gland morphology, abnormal submandibular gland morphology, abnormal submandibular gland morphology, abnormal submandibular gland morphology",15042696,STOCKShh<tm1Amc>/J
Shh<tm1Amc>/Shh<tm1Amc>,involves: 129/Sv * C57BL/6J * CBA/J,hm,FALSE,"abnormal colon morphology, abnormal dermal layer morphology, abnormal dermis papillary layer morphology, abnormal digestive organ placement, abnormal digestive system morphology, abnormal duodenum morphology, abnormal enteric neuron morphology, abnormal esophagus morphology, abnormal hair follicle development, abnormal hair follicle development, abnormal hair follicle morphology, abnormal hair follicle morphology, abnormal hair follicle morphology, abnormal hair follicle orientation, abnormal hair shaft morphology, abnormal lung development, abnormal lung saccule morphology, abnormal lung vasculature morphology, abnormal small intestine morphology, abnormal smooth muscle morphology, abnormal stomach glandular epithelium morphology, abnormal tracheal cartilage morphology, abnormal tracheal smooth muscle morphology, absent hair follicle inner root sheath, absent hair follicles, alopecia, alopecia, anal atresia, annular pancreas, decreased fetal size, decreased keratinocyte proliferation, epidermal hyperplasia, gastric metaplasia, impaired branching involved in bronchus morphogenesis, impaired branching involved in bronchus morphogenesis, impaired lung lobe morphogenesis, perinatal lethality, complete penetrance, prenatal lethality, incomplete penetrance, pulmonary hypoplasia, stomach epithelial hyperplasia, thick epidermis, tracheoesophageal fistula","10821773, 9768360, 9768363",129/Sv|C57BL/6J|CBA/J
Shh<tm1Amc>/Shh<tm1Amc>,involves: 129S1/Sv * 129X1/SvJ,hm,TRUE,"abnormal vertebrae morphology, holoprosencephaly, notochord degeneration",17504941,129S1/Sv|129X1/SvJ
Shh<tm1Amc>/Shh<tm2Amc>,involves: 129S1/Sv * 129X1/SvJ,ht,FALSE,"no abnormal phenotype detected, no abnormal phenotype detected",11044393,129S1/Sv|129X1/SvJ
Shh<tm1Chg>/Shh<tm1Chg>,involves: 129S1/Sv * 129X1/SvJ,hm,FALSE,"abnormal axial skeleton morphology, abnormal craniofacial bone morphology, abnormal craniofacial morphology, abnormal dorsal-ventral axis patterning, abnormal forebrain morphology, abnormal foregut morphology, abnormal heart morphology, abnormal humerus morphology, abnormal kidney morphology, abnormal limb development, abnormal long bone morphology, abnormal lung morphology, abnormal motor neuron morphology, abnormal nasal pit morphology, abnormal neural tube morphology, abnormal optic cup morphology, abnormal optic stalk morphology, abnormal optic vesicle formation, abnormal spinal cord interneuron morphology, abnormal telencephalon morphology, absent cartilage, absent diencephalon, absent fibula, absent floor plate, absent floor plate, absent forelimb, absent hindlimb, absent tibia, absent vertebrae, adactyly, cyclopia, cyclopia, decreased brain size, decreased midbrain size, decreased motor neuron number, decreased rib number, decreased spinal cord size, fetal growth retardation, increased apoptosis, notochord degeneration, perinatal lethality, incomplete penetrance","8837770, 20386744, 11748151, 19056373",129S1/Sv|129X1/SvJ
Shh<tm1Chg>/Shh<tm1Chg>,involves: 129S1/Sv * 129X1/SvJ * C57BL/6,hm,FALSE,"abnormal autopod morphology, abnormal forelimb zeugopod morphology, abnormal hindlimb zeugopod morphology, short limbs",23644062,129S1/Sv|129X1/SvJ|C57BL/6
Shh<tm1Chg>/Shh<tm1Chg>,involves: 129S1/Sv * 129X1/SvJ * CD-1,hm,FALSE,"abnormal otic vesicle development, abnormal otic vesicle development, abnormal posterior semicircular canal morphology, abnormal posterior semicircular canal morphology, abnormal superior semicircular canal morphology, abnormal superior semicircular canal morphology, absent endolymphatic duct, absent lateral semicircular canal, absent scala media, absent utricle, absent vestibular saccule, absent vestibulocochlear ganglion",12231626,129S1/Sv|129X1/SvJ|CD
Shh<tm1Chg>/Shh<tm1Chg>,involves: C57BL/6,hm,TRUE,"abnormal dorsal-ventral axis patterning, abnormal limb morphology, abnormal motor neuron morphology, abnormal neural tube morphology, abnormal somite shape, absent notochord, cyclopia, decreased somite size, embryonic growth retardation, holoprosencephaly",15105374,C57BL/6
Shh<tm1Ptch>/Shh<tm1Ptch>,involves: 129P2/OlaHsd * FVB/N * various,hm,TRUE,"abnormal ventral interneuron 2 morphology, abnormal ventral interneuron 3 morphology, decreased embryo size, decreased motor neuron number, holoprosencephaly, neonatal lethality, complete penetrance, oligodactyly, oligodactyly, oligodactyly",15075292,129P2/OlaHsd|FVB/N|various
Shh<tm1Tmj>/Shh<+>,Not Specified,ht,FALSE,no phenotypic analysis,15183722,NotSpecified
Shh<tm1Tshir>/Shh<+>,Not Specified,ht,FALSE,no phenotypic analysis,19097946,NotSpecified
Shh<tm1b(EUCOMM)Wtsi>/Shh<+>,C57BL/6N-Shh<tm1b(EUCOMM)Wtsi>/H,ht,FALSE,"decreased bone mineral content, decreased lean body mass, impaired glucose tolerance, increased circulating HDL cholesterol level, increased total body fat amount",NA,C57BL/6N
Shh<tm2Chg>/Shh<tm2Chg>,involves: 129S1/Sv * 129X1/SvJ,hm,FALSE,"neonatal lethality, complete penetrance",16611729,129S1/Sv|129X1/SvJ
Six3<tm4(cre/ERT2)Gco>/Six3<+>,involves: 129S1/Sv * C57BL/6,ht,TRUE,"holoprosencephaly, holoprosencephaly, holoprosencephaly, holoprosencephaly",18694563,129S1/Sv|C57BL/6
Smad2<m1Mag>/Smad2<+>,either: (involves: 129S/Sv * Black Swiss) or (involves: 129S/Sv * C57BL/6),ht,FALSE,no abnormal phenotype detected,12432092,129S/Sv|BlackSwiss
Smad2<tm1.2Mwst>/Smad2<+>,involves: 129S6/SvEvTac * Black Swiss,ht,FALSE,abnormal developmental patterning,15452874,129S6/SvEvTac|BlackSwiss
Smad2<tm1.3Mwst>/Smad2<+>,involves: 129S6/SvEvTac * Black Swiss,ht,FALSE,no phenotypic analysis,15452874,129S6/SvEvTac|BlackSwiss
Smad2<tm1Cxd>/Smad2<+>,involves: 129S6/SvEvTac * C57BL/6,ht,FALSE,"abnormal Meckel's cartilage morphology, abnormal Meckel's cartilage morphology, abnormal eye morphology, abnormal eye morphology, abnormal mandible morphology, abnormal mandible morphology, abnormal mandible morphology, abnormal mandible morphology",11984875,129S6/SvEvTac|C57BL/6
Smad2<tm1Cxd>/Smad2<tm1Cxd>,involves: 129S6/SvEvTac * NIH Black Swiss,hm,FALSE,"abnormal developmental patterning, abnormal ectoplacental cone morphology, abnormal egg cylinder morphology, abnormal extraembryonic endoderm formation, abnormal extraembryonic tissue morphology, absent allantois, absent amnion, absent chorion, absent extraembryonic ectoderm, absent head fold, absent mesoderm, decreased embryo size, embryonic growth arrest, embryonic lethality between implantation and somite formation, complete penetrance, failure of primitive streak formation, failure to gastrulate",9689088,129S6/SvEvTac|NIHBlackSwiss
Smad2<tm1Cxd>/Smad2<tm1Mwst>,involves: 129S6/SvEvTac * Black Swiss,ht,FALSE,"embryonic lethality, complete penetrance",15452874,129S6/SvEvTac|BlackSwiss
Smad2<tm1Enl>/Smad2<+>,involves: 129S4/SvJae,ht,FALSE,"abnormal craniofacial morphology, abnormal embryonic tissue morphology, abnormal embryonic tissue morphology, abnormal eye development, abnormal mandible morphology, abnormal primitive streak elongation, absent allantois, absent amnion, absent mandible, embryonic growth retardation, mandible hypoplasia",9655392,129S4/SvJae
Smad2<tm2Enl>/Smad2<+>,involves: 129S4/SvJae,ht,FALSE,"abnormal craniofacial morphology, abnormal embryonic tissue morphology, abnormal eye development, abnormal mandible morphology, embryonic growth retardation",9655392,129S4/SvJae
Smad2<tm4(SMADH3)Rob>/Smad2<tm4(SMADH3)Rob>,involves: 129S/SvEv * C57BL/6 * ICR,hm,TRUE,"abnormal forebrain development, abnormal hindbrain development, exencephaly, holoprosencephaly, microcephaly, neonatal lethality, incomplete penetrance, prenatal lethality, incomplete penetrance",15630024,129S/SvEv|C57BL/6|ICR
Smad3<em1(IMPC)H>/Smad3<+>,C57BL/6NTac-Smad3<em1(IMPC)H>/H,ht,FALSE,decreased circulating alkaline phosphatase level,NA,C57BL/6NTac
Smad3<tm1Cxd>/Smad3<tm1Cxd>,B6.129S6-Smad3<tm1Cxd>,hm,FALSE,"abnormal vascular wound healing, abnormal vascular wound healing, abnormal vascular wound healing, decreased renal tubule apoptosis, decreased susceptibility to injury, renal interstitial fibrosis, renal interstitial fibrosis, renal/urinary system phenotype, tubulointerstitial nephritis","15790953, 15253712",B6|129S6
Smad3<tm1Cxd>/Smad3<tm1Cxd>,either: (involves: 129S6/SvEvTac * C57BL/6) or (involves: 129S6/SvEvTac * NIH Black Swiss),hm,FALSE,"abnormal T cell activation, abnormal T cell physiology, abnormal immune system morphology, abnormal thymus involution, colitis, decreased body size, enlarged lymph nodes, enlarged lymph nodes, enlarged mesenteric lymph nodes, extramedullary hematopoiesis, impaired neutrophil chemotaxis, increased inflammatory response, increased intestinal adenocarcinoma incidence, increased leukocyte cell number, increased monocyte cell number, increased neutrophil cell number, kyphosis, pancreas inflammation, premature death, premature death, small intestinal inflammation, small spleen, spleen hypoplasia, stomach inflammation, thymus hypoplasia",10064594,129S6/SvEvTac|C57BL/6
Smad3<tm1Cxd>/Smad3<tm1Cxd>,involves: 129S6/SvEvTac,hm,FALSE,"abnormal articular cartilage morphology, abnormal articular cartilage morphology, abnormal cartilage morphology, abnormal chondrocyte morphology, abnormal epiphyseal plate morphology, abnormal forelimb morphology, abnormal intestine morphology, abnormal joint morphology, abnormal keratinocyte physiology, abnormal kidney epithelium morphology, abnormal kidney epithelium morphology, abnormal kidney epithelium morphology, abnormal leukocyte physiology, abnormal locomotor behavior, abnormal rib morphology, abnormal skeleton physiology, abnormal synovial joint capsule morphology, abnormal tarsal bone morphology, calcified joint, decreased B cell apoptosis, decreased body size, decreased body weight, decreased bone mineral density, decreased primary ovarian follicle number, decreased primary ovarian follicle number, decreased secondary ovarian follicle number, decreased secondary ovarian follicle number, decreased secondary ovarian follicle number, decreased susceptibility to injury, decreased tertiary ovarian follicle number, decreased tertiary ovarian follicle number, decreased tertiary ovarian follicle number, enhanced wound healing, impaired ovarian folliculogenesis, increased primordial ovarian follicle number, increased primordial ovarian follicle number, increased primordial ovarian follicle number, increased primordial ovarian follicle number, increased width of hypertrophic chondrocyte zone, kyphoscoliosis, kyphosis, osteoarthritis, osteoarthritis, premature death, reduced female fertility","11285272, 11906909, 10559937, 14617750, 18704116",129S6/SvEvTac
Smad3<tm1Cxd>/Smad3<tm1Cxd>,involves: 129S6/SvEvTac * C57BL/6,hm,FALSE,"abnormal CD4-positive T cell differentiation, abnormal CD4-positive T cell differentiation, abnormal physiological response to xenobiotic, abnormal physiological response to xenobiotic, increased circulating creatinine level, increased susceptibility to kidney reperfusion injury, renal tubular necrosis, renal tubular necrosis","18474630, 18434384",129S6/SvEvTac|C57BL/6
Smad3<tm1Xfw>/Smad3<tm1Xfw>,involves: 129/Sv * C57BL/6,hm,FALSE,"abnormal B cell proliferation, abnormal T cell proliferation, abnormal carpal bone morphology, abnormal cell proliferation, abnormal cytokine secretion, abnormal rib morphology, abnormal sternum morphology, abnormal talus morphology, abnormal thoracic cage morphology, decreased body size, immune system phenotype, kyphosis",10082515,129/Sv|C57BL/6
Smo<rgsc02073>/Smo<rgsc02073>,either: B6JJcl(C3JJcl)-Smo<rgsc02073> or B6JJcl(D2JJcl)-Smo<rgsc02073>,hm,TRUE,"abnormal left-right axis patterning, embryonic growth retardation, embryonic lethality, complete penetrance, holoprosencephaly",25760946,B6JJclC3JJcl
Sox4<Igt4>/Sox4<+>,involves: C3H/HeH * C57BL/6,ht,FALSE,"decreased circulating insulin level, decreased insulin secretion, impaired glucose tolerance",18477811,C3H/HeH|C57BL/6
Sox4<Igt4>/Sox4<M91Ark>,involves: C3H/HeH * C57BL/6,ht,FALSE,"lethality throughout fetal growth and development, complete penetrance",18477811,C3H/HeH|C57BL/6
Sox4<M91Ark>/Sox4<+>,involves: C3H/HeH,ht,FALSE,"decreased circulating insulin level, decreased circulating insulin level, decreased insulin secretion, decreased insulin secretion, impaired glucose tolerance, impaired glucose tolerance",18477811,C3H/HeH
Sox4<em1(IMPC)Mbp>/Sox4<+>,C57BL/6NCrl-Sox4<em1(IMPC)Mbp>/MbpMmucd,ht,FALSE,"abnormal brain morphology, abnormal gallbladder morphology, abnormal uterus morphology, decreased brain size, enlarged gallbladder, enlarged uterus",NA,C57BL/6NCrl
Sox4<tm1.1Vlf>/Sox4<+>,involves: 129 * C57BL/6 * FVB/N,ht,FALSE,thick interventricular septum,20596238,129|C57BL/6|FVB/N
Spry2<tm1Ayos>/Spry2<tm1Ayos>,B6.Cg-Spry2<tm1Ayos>,hm,FALSE,"abnormal digestive system physiology, abnormal digestive system physiology, abnormal enteric ganglia morphology, abnormal enteric nervous system morphology, abnormal enteric neuron morphology, abnormal intestine morphology, decreased body size, dilated esophagus, intestinal obstruction, premature death",15937482,B6|Cg
Spry4<tm1Ayos>/Spry4<tm1Ayos>,B6.Cg-Spry4<tm1Ayos>,hm,FALSE,"abnormal incisor morphology, abnormal mandible morphology, abnormal mandible morphology, decreased body weight, malocclusion, polysyndactyly, postnatal growth retardation, postnatal lethality, incomplete penetrance, respiratory system phenotype",17156747,B6|Cg
Stil<tm1Mku>/Stil<tm1Mku>,Not Specified,hm,TRUE,"abnormal apoptosis, abnormal left-right axis patterning, abnormal neural tube morphology, absent floor plate, delayed neural tube closure, embryonic growth retardation, embryonic lethality during organogenesis, complete penetrance, holoprosencephaly, notochord degeneration",10385121,NotSpecified
T(14;15)6Ca/+,CBA/CaH-T(14;15)6Ca,ht,FALSE,reduced fertility,5055128,CBA/CaH
T(2;10)67Gso/+,involves: 101 * C3H * C3H/Rl * C57BL/RlGso * SEC/RlGso,ht,FALSE,reduced fertility,11944981,101|C3H|C3H/Rl|C57BL/RlGso|SEC/RlGso
